-8.669e+05,2.8627e+05,-9.3669e+05,3.7671e+05,-14508,-61894,-4906.4,-1.8167e+05,91202,2.0074e+05,10957,14025,46620,-1.1784e+05,38429,1.8507e+05,-30490,60952,15202,-73686
9.0335e+05,1.9486e+06,-1.1051e+06,6.9585e+05,69639,46542,1.5674e+05,-74043,1.5695e+05,1.6654e+05,-16515,51662,-27574,-1.0446e+05,84045,-2.1505e+05,7141.2,-59978,16216,-11548
6.3307e+06,33009,5.9005e+05,6.6348e+05,2.9326e+05,2.488e+05,3.6399e+05,-24197,11014,-81838,24452,4143.6,-44659,1.0553e+05,-25593,73691,-5952.9,34742,-5593.5,10445
-2.2922e+06,-5.8213e+05,-6.9503e+05,-1.1926e+05,88962,-1.4951e+05,-9735.3,-1.741e+05,83788,14745,1.3741e+05,-2.3801e+05,-2.143e+05,82964,-24733,14175,-21598,-69408,-6117.1,9634.5
5.2791e+06,2.9958e+05,-4.8471e+05,-4.2189e+05,2.7293e+05,-2.3251e+05,-3.0599e+05,3.3247e+05,-61162,1.656e+05,97221,-50351,21482,-21237,50382,-2211.6,23313,8291.3,-3489.2,1517.9
-4.5584e+05,1.0932e+06,-1.0817e+06,7.7129e+05,-2.8761e+05,-2.2504e+05,67742,58128,31012,-73981,22384,-25498,1.924e+05,29909,50623,57092,-60892,-90584,-37217,67088
-1.4487e+05,-1.7013e+06,-84946,-7.8253e+05,2.2838e+05,-33696,23311,-3.053e+05,-1.9682e+05,2.185e+05,-74412,97190,1.0739e+05,1.4533e+05,-47277,-17621,4874.6,-75027,-18362,3343.9
3.1743e+06,-1.7612e+06,1.2338e+06,-6.6795e+05,-7.9397e+05,-1.2341e+05,1.8323e+05,15222,45833,92933,-3590.4,-2352.1,-48075,42325,-21146,-21944,28222,24915,4996.1,-18118
-6.2884e+05,2.0129e+06,-4.7848e+05,-1.1744e+05,-89037,3.3554e+05,-1.4428e+05,-31737,-1058.4,1.1081e+05,-1.1517e+05,-80415,-43724,-86179,-1469.8,-8012.5,7722.1,1.066e+05,-95675,51822
-1.2219e+06,1.8675e+06,-4.0047e+05,-1.0238e+05,-2.032e+05,4.4827e+05,-1.2511e+05,-12479,-1.5827e+05,-53225,2.9514e+05,71662,48001,-14425,4560.9,-19345,-11981,-18246,17331,-7705.3
-1.1076e+06,1.6848e+06,-6.3816e+05,1.2624e+05,-23306,-53524,-2.1962e+05,82920,1.7288e+05,-59866,-30618,2.9572e+05,-1.7181e+05,81159,-3436.9,58960,34475,-30314,-13520,16009
6.2645e+05,1.1677e+06,-8.9751e+05,4.941e+05,-1.2542e+05,-99941,-46716,981.08,-4.3603e+05,-1.13e+05,-1.3973e+05,-2161.9,-1.3249e+05,-75820,6293.4,-959.09,-52655,-12314,34497,-6200.4
-1.7953e+06,-1.7375e+06,3.5183e+06,5.2334e+05,81006,-65366,-73274,69587,-51796,-88475,2314,-14363,14961,16779,34806,-36542,4655.3,-42765,-76191,-74762
-2.6035e+06,-1.8852e+06,3.4042e+06,4.156e+05,73579,-6610.8,-58687,17729,5057.9,1.6996e+05,-5443.3,-6883.7,4917.5,-22270,-9483.1,19370,13231,37526,78978,72567
2.7621e+06,-2.0899e+06,1.0746e+06,-8.1594e+05,1.245e+05,-1.111e+05,-1.1789e+05,-2.8087e+05,1.3011e+05,-2.9407e+05,1598.8,28799,35778,-1.7191e+05,5645.2,-14687,-56675,-3085.4,8464.1,20029
-1.0781e+05,1.9421e+06,-8.2039e+05,4.3209e+05,237.25,-28436,-1.3708e+05,86814,96939,-36218,-31217,-32838,80328,6374,-2.8884e+05,-60812,-24386,27950,14989,-25353
1.6624e+05,1.6187e+06,-4.872e+05,-1.784e+05,-57983,2.9955e+05,-1.966e+05,41113,1.0985e+05,-1.2208e+05,-1.7503e+05,-1.352e+05,70276,95083,84699,28534,94446,-70340,52724,-25346
-2.3296e+06,-6.6535e+05,-9.6133e+05,2811.5,72946,-2.0915e+05,34751,-57539,-19735,-1.4097e+05,32328,6214.7,53482,1.5078e+05,89956,-82649,17631,2.0371e+05,12260,-6243.5
-3.059e+06,-1.445e+06,-1.2547e+05,-9.1381e+05,1.4925e+05,1.1849e+05,2.7435e+05,3.1981e+05,59265,6736,-61153,12746,-9199.5,-4255.7,20141,6555.7,-1.7467e+05,-11118,10494,-11632
-2.6291e+06,-2.0869e+06,-6.2371e+05,-3.8191e+05,1.4033e+05,-96995,3.3576e+05,1.1716e+05,-69034,-82835,29078,5907.3,16191,-1.3785e+05,-47604,36394,2.0359e+05,-21505,-9985.1,8138
